,regression_slope,correlation_coefficient,output
0,4.186961587684081e-08,0.405711970415563,1.4987
1,2.2095119860372752e-08,0.07901863789363854,1.4979333333333331
2,-3.742877492877745e-07,-0.7691507774541196,1.4976333333333336
3,-2.901163534075101e-06,-0.9624891544399805,1.4948
4,-5.492567397325886e-07,-0.3319356474297811,1.495
5,9.072638529998844e-07,0.7837253137996245,1.4961
6,-1.998050682264884e-07,-0.10216240026125346,1.495766666666667
7,8.408535438990395e-07,0.7918816572379584,1.4967
8,-9.219188276373439e-07,-0.531222553498102,1.4955
9,-3.579812206571811e-07,-0.35228327442398,1.4958
10,-2.42300375340625e-07,-0.6186917158856062,1.4951
11,2.652322357415365e-07,0.5880414363354801,1.4950666666666668
12,1.5557485353149857e-07,0.5427656965321906,1.4949
13,8.975431127332583e-07,0.786282819045381,1.4959
14,-7.912799883178135e-08,-0.2216422777242999,1.4970666666666668
15,-2.409869101651553e-07,-0.44903061631404306,1.4965
16,2.632073698053863e-08,0.04592392173955299,1.4963
17,3.547957468179123e-08,0.02675042588279838,1.4959999999999998
18,8.392636872568247e-07,0.5807980021366688,1.4965333333333335
19,1.3725762413811696e-06,0.6875371953665919,1.4971000000000003
20,5.192696994003591e-07,0.7662024812504732,1.4974
21,4.873076417203828e-07,0.8491015650311493,1.4989333333333337
22,-1.5017873384416505e-08,-0.05665249669813709,1.4982333333333333
23,-4.589510784200612e-07,-0.7635971324067125,1.4979000000000002
24,7.012035583464854e-07,0.8559499696245998,1.4991
25,1.8291215403127925e-06,0.9830038265546202,1.501
26,4.803722885235996e-07,0.702335451126926,1.5011
27,1.3474895022787177e-06,0.19099366611855217,1.5012666666666667
28,2.341299238160513e-08,0.07461185039599183,1.5011
29,1.2892440213088726e-07,0.6332228755907364,1.5012666666666667
30,3.382760492559419e-07,0.7693502238731617,1.5018
31,-4.154965900621633e-08,-0.5318824894895051,1.501966666666667
32,-3.5063610592569407e-07,-0.6672894671425453,1.5007
33,2.9712827416021544e-07,0.8697968177720955,1.5011
34,-5.451189428833735e-07,-0.8433001668194989,1.5009
35,4.957647943479575e-08,0.5071438265650239,1.501
36,-8.479550123183804e-08,-0.3677218379327838,1.5008
37,-6.084274864426416e-08,-0.39547648965222865,1.501
38,-4.4616346304109786e-07,-0.618362901771294,1.4991
39,1.1975945458125554e-07,0.2553081505505148,1.4991
40,-7.193431015832082e-07,-0.8610168431392001,1.4955
41,3.588427785206736e-08,0.04379188414662496,1.4952666666666667
42,1.0211160527621114e-07,0.21125554105062586,1.4948
43,2.804096599012274e-07,0.649303500704202,1.4965
44,-1.9210133388315776e-07,-0.8106692909367661,1.4957
45,-3.6984665661138037e-07,-0.5887529237078317,1.4956000000000005
46,6.941672211133197e-07,0.7124894657973433,1.4956000000000005
47,-1.4576838169723016e-07,-0.31919997561864577,1.4941000000000002
48,8.686551543694141e-07,0.7906519104273667,1.4936333333333334
49,-1.2295081967236534e-07,-0.2243982559433023,1.4934666666666667
50,-2.7516277084002622e-06,-0.9147949127930872,1.491
51,4.0924711027807746e-07,0.6169189998180745,1.4916333333333334
52,-1.0778727445396088e-06,-0.8989069833098542,1.4906
53,4.696259534972062e-07,0.4166751107527406,1.4910333333333332
54,1.4467592592590119e-06,0.916696560192398,1.4926
55,7.533670033668176e-07,0.9346474808467591,1.4945666666666666
56,6.175536660893623e-07,0.8128070552910913,1.4949666666666666
57,-2.6347556815190164e-07,-0.6953432831645915,1.4946
58,1.2248248349197373e-07,0.389668107224915,1.4947
59,2.3237074785493626e-07,0.9725780611083199,1.4956000000000005
60,-1.6185686590353526e-07,-0.8066855033114503,1.4944
61,1.0972649700974345e-07,0.7547367509337217,1.4952666666666667
62,-2.578888354958122e-07,-0.8365267531147739,1.4949
63,2.4733383764242746e-08,0.16643457251574179,1.495
64,1.5606696025088373e-07,0.8336060377928372,1.4948
65,1.8303055985457107e-07,0.8345075105537165,1.4973
66,-2.0548330799977093e-08,-0.030166656893127988,1.497866666666667
67,-1.8560034021265433e-07,-0.7814301450032659,1.497
68,8.116745919636076e-08,0.15383854790473284,1.5004333333333335
69,7.4065040650403585e-06,0.8881568307508066,1.5064666666666666
70,7.237386269644116e-06,0.928615568834056,1.5122
71,-1.2536485697605545e-06,-0.5395983188154199,1.509
72,1.9970088853699413e-06,0.9162332480192293,1.5096333333333334
73,1.740988480118748e-06,0.7882375829741219,1.5112333333333334
74,-2.995828593095993e-07,-0.12153759855257155,1.5111
75,-2.409398645957587e-07,-0.11396700863285043,1.5093666666666667
76,4.1904653110953295e-07,0.32362000998053764,1.5096
77,-1.338383838383893e-06,-0.5818066583985015,1.508233333333333
78,5.265735978445471e-07,0.5944599468256099,1.5088666666666668
79,2.2147694501152198e-07,0.331436365964344,1.5087
80,9.589525831562834e-07,0.8756385724390571,1.5086666666666666
81,-1.7285272424457e-06,-0.9611473702812594,1.5076
82,-3.5044283413845844e-06,-0.9775561169229247,1.5057
83,1.6651909859906665e-19,9.200680851661997e-14,1.5063666666666666
84,3.1464133923155086e-07,0.6682053351343044,1.5073
85,-1.3379493523116658e-07,-0.42633301959051445,1.5071666666666668
86,2.409145137266561e-08,0.9839821074953184,1.511
87,9.358842342125766e-08,0.7857347473391172,1.5116000000000005
88,-4.353004852587536e-08,-0.5054550376898798,1.5109
89,1.902019020190293e-07,0.6903257137034727,1.5094666666666667
90,-2.2855347640829826e-07,-0.8379429880824706,1.5095
91,2.000123361896456e-06,0.9600382605602121,1.5144
92,-3.574810606062385e-07,-0.3767597663085134,1.5138
93,-8.453741462350487e-07,-0.9467203698839142,1.5126
94,-2.3543731524952312e-06,-0.9409315572223014,1.5109
95,-8.46930846931201e-07,-0.8020903363896448,1.5101000000000002
96,-1.3274155698393671e-06,-0.7855055771922892,1.5095
97,-4.1135397692790433e-07,-0.3671591271085345,1.5089333333333332
98,1.5921115921117773e-06,0.7628278630477661,1.5092333333333334
99,5.782828282827141e-07,0.5760245324605506,1.5105666666666666
100,1.7498214467902713e-07,0.20459083643803064,1.5108333333333333
101,-2.188060035842206e-06,-0.9757532891976548,1.5088666666666668
102,1.6126501297601018e-06,0.6331498641474829,1.5110333333333337
103,-5.353535353531848e-07,-0.262841515529879,1.5115
104,7.67195767195883e-07,0.6874141967172603,1.5121333333333336
105,1.19756644252357e-06,0.3754474493610132,1.5132333333333332
106,1.6457074418860216e-06,0.9393802246020515,1.5147000000000002
107,-1.316159062637791e-07,-0.18534508052897553,1.5144666666666666
108,1.4753876362652085e-06,0.7415984079829349,1.5161
109,2.3957057718999726e-06,0.7845185431255356,1.518
110,-4.276094276089992e-07,-0.31489614352098283,1.5183
111,6.635802469137641e-07,0.9283122369369541,1.5188999999999997
112,6.475721444618287e-07,0.8473377402002118,1.5194
113,-5.087505087504256e-07,-0.8923593133548797,1.5190000000000001
114,9.529602595317036e-08,0.1409157575581296,1.5191666666666668
115,-8.610677760444996e-07,-0.9282099163692803,1.5186
116,1.0117548278760054e-06,0.9193633655656563,1.5195999999999998
117,-7.889396245559361e-07,-0.8301774239694969,1.5192000000000003
118,1.0101010101004525e-07,0.16480856327176532,1.5194
119,-3.7886315574922314e-07,-0.9317759605448445,1.5192000000000003
120,1.984690656567935e-07,0.390151842253094,1.5191333333333332
121,-9.618409718656135e-08,-0.7336298470739259,1.5185000000000002
122,1.7670271830160077e-08,0.1678292793823605,1.5178
123,4.744733938812344e-08,0.28573215920896744,1.5172
124,2.006743892661627e-09,0.03516073124149554,1.5173
125,-2.1409330961929236e-07,-0.6707546928221634,1.5161
126,-3.319656542604001e-07,-0.8125267687285376,1.5144333333333335
127,-2.6353023958222975e-07,-0.642197578604103,1.513
128,-5.147258968911189e-07,-0.4703054590634703,1.512233333333333
129,1.498316498317034e-06,0.9105210731091234,1.5136000000000005
130,-1.1578244911575525e-06,-0.7691582191891155,1.5135333333333332
131,-7.718600142843655e-07,-0.7159457304362395,1.5127
132,1.0390595373532225e-06,0.8911847451654298,1.512833333333333
133,-8.303249097472544e-07,-0.5848778600722095,1.5131
134,-4.6279850009878887e-07,-0.45992307316982983,1.5144
135,1.317016317016146e-06,0.7675412989995388,1.5150999999999997
136,-5.996472663143956e-07,-0.5658273890759473,1.5155333333333336
137,4.999999999999741e-06,0.7816823484792133,1.5185333333333333
138,2.022518080210417e-06,0.9116092908107725,1.5201
139,3.6652791119649675e-06,0.9699372708562898,1.521766666666667
140,3.326599326599678e-06,0.9248309673585035,1.5238333333333334
141,1.4545454545456084e-06,0.618069394346217,1.5234666666666667
142,4.949494949494405e-07,0.19327772021203038,1.5235666666666667
143,-5.262626262626222e-06,-0.9469915412273681,1.5219333333333334
144,1.962816406004888e-06,0.8912380154995722,1.5229
145,2.8956228956272867e-07,0.4505644729817947,1.5231666666666666
